ID,Observed,Expected,OE,RR_L,date
54914,675,642.03,1.05,1.05,2021-12-02
54867,8,8.98,0.89,0.89,2021-12-02
54864,27,25.96,1.04,1.04,2021-12-02
54840,157,91.26,1.72,1.72,2021-12-02
54841,0,5.88,0.0,0.0,2021-12-02
54842,0,3.37,0.0,0.0,2021-12-02
54843,463,245.05,1.89,1.89,2021-12-02
54844,0,5.53,0.0,0.0,2021-12-02
54845,0,2.58,0.0,0.0,2021-12-02
54846,0,10.31,0.0,0.0,2021-12-02
54847,50,43.29,1.15,1.15,2021-12-02
54848,134,119.8,1.12,1.12,2021-12-02
54865,4,9.17,0.44,0.44,2021-12-02
54849,31,36.0,0.86,0.86,2021-12-02
54853,172,85.47,2.01,2.01,2021-12-02
54854,18,20.33,0.89,0.89,2021-12-02
54855,3,18.21,0.16,0.16,2021-12-02
54856,31,34.02,0.91,0.91,2021-12-02
54857,0,1.23,0.0,0.0,2021-12-02
54858,46,34.75,1.32,1.32,2021-12-02
54859,93,36.79,2.53,2.53,2021-12-02
54861,0,4.26,0.0,0.0,2021-12-02
54862,0,4.55,0.0,0.0,2021-12-02
54850,0,4.93,0.0,0.0,2021-12-02
54915,925,901.09,1.03,1.03,2021-12-02
54921,35,22.8,1.54,1.54,2021-12-02
54922,27,28.0,0.96,0.96,2021-12-02
54961,338,282.71,1.2,1.2,2021-12-02
54962,28,23.78,1.18,1.18,2021-12-02
54963,194,146.8,1.32,1.32,2021-12-02
54964,15,20.22,0.74,0.74,2021-12-02
54965,17,28.1,0.6,0.6,2021-12-02
54966,79,41.13,1.92,1.92,2021-12-02
54967,1,7.34,0.14,0.14,2021-12-02
54968,63,56.91,1.11,1.11,2021-12-02
54970,59,79.48,0.74,0.74,2021-12-02
54960,53,51.82,1.02,1.02,2021-12-02
54971,198,222.33,0.89,0.89,2021-12-02
54977,28,31.22,0.9,0.9,2021-12-02
54979,29,27.27,1.06,1.06,2021-12-02
54980,5,2.27,2.21,2.21,2021-12-02
54981,490,316.11,1.55,1.55,2021-12-02
54982,112,144.6,0.77,0.77,2021-12-02
54983,111,92.39,1.2,1.2,2021-12-02
54984,61,64.87,0.94,0.94,2021-12-02
54985,0,21.47,0.0,0.0,2021-12-02
54986,143,109.82,1.3,1.3,2021-12-02
54974,49,31.38,1.56,1.56,2021-12-02
54956,1018,915.28,1.11,1.11,2021-12-02
54952,477,562.65,0.85,0.85,2021-12-02
54950,55,57.64,0.95,0.95,2021-12-02
54923,231,186.39,1.24,1.24,2021-12-02
54927,2,9.77,0.2,0.2,2021-12-02
54928,0,8.4,0.0,0.0,2021-12-02
54929,216,180.26,1.2,1.2,2021-12-02
54930,36,35.54,1.01,1.01,2021-12-02
54931,0,5.61,0.0,0.0,2021-12-02
54932,33,26.11,1.26,1.26,2021-12-02
54933,0,7.94,0.0,0.0,2021-12-02
54934,0,9.77,0.0,0.0,2021-12-02
54935,1189,876.19,1.36,1.36,2021-12-02
54937,527,410.82,1.28,1.28,2021-12-02
54940,75,85.07,0.88,0.88,2021-12-02
54941,46,48.07,0.96,0.96,2021-12-02
54942,264,207.55,1.27,1.27,2021-12-02
54943,51,41.4,1.23,1.23,2021-12-02
54944,202,187.87,1.08,1.08,2021-12-02
54945,56,69.38,0.81,0.81,2021-12-02
54946,0,1.85,0.0,0.0,2021-12-02
54947,64,48.47,1.32,1.32,2021-12-02
54948,0,4.99,0.0,0.0,2021-12-02
54949,96,70.23,1.37,1.37,2021-12-02
54839,7,5.22,1.34,1.34,2021-12-02
54638,47,34.92,1.35,1.35,2021-12-02
54838,41,22.99,1.78,1.78,2021-12-02
54835,14,18.12,0.77,0.77,2021-12-02
54701,999,849.54,1.18,1.18,2021-12-02
54703,1286,906.66,1.42,1.42,2021-12-02
54720,254,160.93,1.58,1.58,2021-12-02
54721,13,27.73,0.47,0.47,2021-12-02
54722,82,80.1,1.02,1.02,2021-12-02
54723,56,23.63,2.37,2.37,2021-12-02
54724,202,154.24,1.31,1.31,2021-12-02
54725,130,59.57,2.18,2.18,2021-12-02
54726,53,37.25,1.42,1.42,2021-12-02
54670,50,35.83,1.4,1.4,2021-12-02
54727,116,105.36,1.1,1.1,2021-12-02
54729,829,679.94,1.22,1.22,2021-12-02
54730,189,101.64,1.86,1.86,2021-12-02
54731,5,14.99,0.33,0.33,2021-12-02
54732,91,62.12,1.46,1.47,2021-12-02
54733,18,24.55,0.73,0.73,2021-12-02
54734,39,17.04,2.29,2.29,2021-12-02
54736,127,86.75,1.46,1.46,2021-12-02
54737,0,11.04,0.0,0.0,2021-12-02
54738,75,68.05,1.1,1.1,2021-12-02
54728,138,129.34,1.07,1.07,2021-12-02
54739,197,112.01,1.76,1.76,2021-12-02
54669,234,164.3,1.42,1.43,2021-12-02
54666,74,57.91,1.28,1.28,2021-12-02
54642,52,44.64,1.16,1.16,2021-12-02
54643,0,0.062,0.0,0.0,2021-12-02
54644,30,33.69,0.89,0.89,2021-12-02
54645,0,1.66,0.0,0.0,2021-12-02
54646,168,86.53,1.94,1.94,2021-12-02
54648,56,35.42,1.58,1.58,2021-12-02
54650,567,511.34,1.11,1.11,2021-12-02
54651,31,30.2,1.03,1.03,2021-12-02
54652,23,23.9,0.96,0.96,2021-12-02
54667,124,100.14,1.24,1.24,2021-12-02
54653,25,20.26,1.23,1.23,2021-12-02
54655,72,37.74,1.91,1.91,2021-12-02
54656,525,367.26,1.43,1.43,2021-12-02
54657,0,7.81,0.0,0.0,2021-12-02
54658,63,54.0,1.17,1.17,2021-12-02
54659,23,27.48,0.84,0.84,2021-12-02
