FPIS,Observed,Expected,OE,RR,date
55079016800,0,0.058,0.0,0.0,2021-06-02
55079016700,0,0.053,0.0,0.0,2021-06-02
55079016600,2,0.028,71.69,73.21,2021-06-02
55079016500,0,0.035,0.0,0.0,2021-06-02
55079016400,0,0.071,0.0,0.0,2021-06-02
55079017200,0,0.048,0.0,0.0,2021-06-02
55079100300,0,0.043,0.0,0.0,2021-06-02
55079018500,0,0.032,0.0,0.0,2021-06-02
55079018700,0,0.057,0.0,0.0,2021-06-02
55079020500,0,0.048,0.0,0.0,2021-06-02
55079020400,0,0.058,0.0,0.0,2021-06-02
55079020300,0,0.066,0.0,0.0,2021-06-02
55079020200,0,0.06,0.0,0.0,2021-06-02
55079020100,0,0.067,0.0,0.0,2021-06-02
55079020000,0,0.057,0.0,0.0,2021-06-02
55079019900,0,0.064,0.0,0.0,2021-06-02
55079019800,0,0.094,0.0,0.0,2021-06-02
55079018600,0,0.045,0.0,0.0,2021-06-02
55079019700,0,0.085,0.0,0.0,2021-06-02
55079019500,0,0.057,0.0,0.0,2021-06-02
55079019400,0,0.067,0.0,0.0,2021-06-02
55079019300,0,0.053,0.0,0.0,2021-06-02
55079019200,0,0.056,0.0,0.0,2021-06-02
55079019100,0,0.064,0.0,0.0,2021-06-02
55079019000,0,0.078,0.0,0.0,2021-06-02
55079018900,0,0.032,0.0,0.0,2021-06-02
55079018800,0,0.032,0.0,0.0,2021-06-02
55079019600,0,0.056,0.0,0.0,2021-06-02
55083100900,0,0.047,0.0,0.0,2021-06-02
55079100400,0,0.045,0.0,0.0,2021-06-02
55079100600,0,0.035,0.0,0.0,2021-06-02
55079186300,0,0.063,0.0,0.0,2021-06-02
55079186200,0,0.025,0.0,0.0,2021-06-02
55079186100,0,0.033,0.0,0.0,2021-06-02
55079186000,0,0.025,0.0,0.0,2021-06-02
55079185900,0,0.016,0.0,0.0,2021-06-02
55079185800,0,0.027,0.0,0.0,2021-06-02
55079185700,0,0.031,0.0,0.0,2021-06-02
55079185600,0,0.026,0.0,0.0,2021-06-02
55079185500,0,0.029,0.0,0.0,2021-06-02
55079185400,0,0.024,0.0,0.0,2021-06-02
55079185300,0,0.062,0.0,0.0,2021-06-02
55079185200,0,0.08,0.0,0.0,2021-06-02
55079185100,0,0.077,0.0,0.0,2021-06-02
55079180500,0,0.075,0.0,0.0,2021-06-02
55079180400,0,0.042,0.0,0.0,2021-06-02
55079180300,0,0.054,0.0,0.0,2021-06-02
55079180200,0,0.085,0.0,0.0,2021-06-02
55079186400,0,0.023,0.0,0.0,2021-06-02
55079186500,0,0.031,0.0,0.0,2021-06-02
55079186600,0,0.036,0.0,0.0,2021-06-02
55079186800,0,0.027,0.0,0.0,2021-06-02
55083100700,0,0.044,0.0,0.0,2021-06-02
55083100600,0,0.046,0.0,0.0,2021-06-02
55083100500,0,0.039,0.0,0.0,2021-06-02
55083100300,0,0.047,0.0,0.0,2021-06-02
55081950900,0,0.09,0.0,0.0,2021-06-02
55081950800,0,0.074,0.0,0.0,2021-06-02
55081950700,3,0.079,37.91,39.12,2021-06-02
55081950600,0,0.073,0.0,0.0,2021-06-02
55079180100,0,0.047,0.0,0.0,2021-06-02
55081950500,2,0.097,20.63,21.05,2021-06-02
55081950300,0,0.11,0.0,0.0,2021-06-02
55081950200,0,0.077,0.0,0.0,2021-06-02
55081950100,0,0.078,0.0,0.0,2021-06-02
55079187400,0,0.055,0.0,0.0,2021-06-02
55079187300,0,0.11,0.0,0.0,2021-06-02
55079187200,0,0.093,0.0,0.0,2021-06-02
55079187000,0,0.058,0.0,0.0,2021-06-02
55079186900,0,0.039,0.0,0.0,2021-06-02
55081950400,0,0.074,0.0,0.0,2021-06-02
55079170700,0,0.046,0.0,0.0,2021-06-02
55079170600,0,0.059,0.0,0.0,2021-06-02
55079170500,0,0.041,0.0,0.0,2021-06-02
55079120203,0,0.057,0.0,0.0,2021-06-02
55079120202,0,0.049,0.0,0.0,2021-06-02
55079120201,0,0.062,0.0,0.0,2021-06-02
55079120102,0,0.064,0.0,0.0,2021-06-02
55079120101,0,0.068,0.0,0.0,2021-06-02
55079110100,0,0.069,0.0,0.0,2021-06-02
55079101800,0,0.042,0.0,0.0,2021-06-02
55079101700,0,0.055,0.0,0.0,2021-06-02
55079120300,0,0.036,0.0,0.0,2021-06-02
55079101600,0,0.069,0.0,0.0,2021-06-02
55079101400,0,0.065,0.0,0.0,2021-06-02
55079101300,0,0.045,0.0,0.0,2021-06-02
55079101200,0,0.052,0.0,0.0,2021-06-02
55079101100,0,0.029,0.0,0.0,2021-06-02
55079101000,0,0.085,0.0,0.0,2021-06-02
55079100900,2,0.065,30.56,31.19,2021-06-02
55079100800,0,0.047,0.0,0.0,2021-06-02
55079100700,0,0.053,0.0,0.0,2021-06-02
55079101500,0,0.07,0.0,0.0,2021-06-02
55079100500,0,0.06,0.0,0.0,2021-06-02
55079120400,0,0.11,0.0,0.0,2021-06-02
55079120502,0,0.087,0.0,0.0,2021-06-02
55079170400,0,0.051,0.0,0.0,2021-06-02
55079170300,0,0.041,0.0,0.0,2021-06-02
55079170200,0,0.065,0.0,0.0,2021-06-02
55079170100,0,0.043,0.0,0.0,2021-06-02
55079160300,0,0.17,0.0,0.0,2021-06-02
55079160204,0,0.09,0.0,0.0,2021-06-02
55079160203,0,0.11,0.0,0.0,2021-06-02
55079160202,0,0.12,0.0,0.0,2021-06-02
55079120501,0,0.072,0.0,0.0,2021-06-02
55079160100,0,0.11,0.0,0.0,2021-06-02
55079150303,0,0.078,0.0,0.0,2021-06-02
55079150301,0,0.095,0.0,0.0,2021-06-02
55079150100,0,0.14,0.0,0.0,2021-06-02
55079140202,0,0.098,0.0,0.0,2021-06-02
55079140201,0,0.086,0.0,0.0,2021-06-02
55079140100,0,0.051,0.0,0.0,2021-06-02
55079130200,0,0.047,0.0,0.0,2021-06-02
55079130100,0,0.079,0.0,0.0,2021-06-02
55079150304,0,0.073,0.0,0.0,2021-06-02
55105001000,0,0.055,0.0,0.0,2021-06-02
55105001100,0,0.076,0.0,0.0,2021-06-02
55105001201,0,0.084,0.0,0.0,2021-06-02
55133203102,0,0.12,0.0,0.0,2021-06-02
55133203101,0,0.11,0.0,0.0,2021-06-02
55133203000,0,0.042,0.0,0.0,2021-06-02
55133202902,0,0.059,0.0,0.0,2021-06-02
55133202901,0,0.078,0.0,0.0,2021-06-02
55133202800,0,0.074,0.0,0.0,2021-06-02
55133202700,0,0.028,0.0,0.0,2021-06-02
55133202600,0,0.057,0.0,0.0,2021-06-02
55133202500,0,0.067,0.0,0.0,2021-06-02
55133202400,0,0.081,0.0,0.0,2021-06-02
55133202302,0,0.098,0.0,0.0,2021-06-02
55133202301,0,0.071,0.0,0.0,2021-06-02
55133202202,0,0.094,0.0,0.0,2021-06-02
55133202201,0,0.069,0.0,0.0,2021-06-02
55133202103,0,0.061,0.0,0.0,2021-06-02
55133202102,0,0.084,0.0,0.0,2021-06-02
55133202101,0,0.071,0.0,0.0,2021-06-02
55133203103,0,0.082,0.0,0.0,2021-06-02
55133203200,0,0.072,0.0,0.0,2021-06-02
55133203303,0,0.062,0.0,0.0,2021-06-02
55133203304,0,0.082,0.0,0.0,2021-06-02
55133203902,0,0.071,0.0,0.0,2021-06-02
55133203901,0,0.081,0.0,0.0,2021-06-02
55133203804,0,0.12,0.0,0.0,2021-06-02
55133203803,0,0.066,0.0,0.0,2021-06-02
55133203802,0,0.1,0.0,0.0,2021-06-02
55133203704,0,0.086,0.0,0.0,2021-06-02
55133203703,0,0.056,0.0,0.0,2021-06-02
55133203702,0,0.081,0.0,0.0,2021-06-02
55133202002,0,0.064,0.0,0.0,2021-06-02
55133203602,0,0.092,0.0,0.0,2021-06-02
55133203500,0,0.11,0.0,0.0,2021-06-02
55133203406,0,0.12,0.0,0.0,2021-06-02
55133203405,0,0.073,0.0,0.0,2021-06-02
55133203404,0,0.053,0.0,0.0,2021-06-02
55133203403,0,0.09,0.0,0.0,2021-06-02
55133203402,0,0.061,0.0,0.0,2021-06-02
55133203306,0,0.11,0.0,0.0,2021-06-02
55133203305,0,0.068,0.0,0.0,2021-06-02
55133203601,0,0.068,0.0,0.0,2021-06-02
55133202001,0,0.087,0.0,0.0,2021-06-02
55133201900,0,0.093,0.0,0.0,2021-06-02
55133201800,0,0.027,0.0,0.0,2021-06-02
55133200801,0,0.078,0.0,0.0,2021-06-02
55133200700,0,0.063,0.0,0.0,2021-06-02
55133200600,0,0.03,0.0,0.0,2021-06-02
55133200500,0,0.093,0.0,0.0,2021-06-02
55133200400,0,0.11,0.0,0.0,2021-06-02
55133200300,0,0.076,0.0,0.0,2021-06-02
55133200202,0,0.072,0.0,0.0,2021-06-02
55133200201,0,0.063,0.0,0.0,2021-06-02
55133200803,0,0.072,0.0,0.0,2021-06-02
55133200103,0,0.052,0.0,0.0,2021-06-02
55133200101,0,0.08,0.0,0.0,2021-06-02
55131470204,0,0.07,0.0,0.0,2021-06-02
55131470203,0,0.08,0.0,0.0,2021-06-02
55131470202,0,0.096,0.0,0.0,2021-06-02
55131470100,0,0.087,0.0,0.0,2021-06-02
55131460102,0,0.084,0.0,0.0,2021-06-02
55131460101,0,0.11,0.0,0.0,2021-06-02
55131450106,0,0.1,0.0,0.0,2021-06-02
55133200102,0,0.083,0.0,0.0,2021-06-02
55133204002,0,0.093,0.0,0.0,2021-06-02
55133200804,0,0.06,0.0,0.0,2021-06-02
55133200902,0,0.064,0.0,0.0,2021-06-02
55133201704,0,0.093,0.0,0.0,2021-06-02
55133201703,0,0.094,0.0,0.0,2021-06-02
55133201701,0,0.074,0.0,0.0,2021-06-02
55133201600,0,0.085,0.0,0.0,2021-06-02
55133201506,0,0.079,0.0,0.0,2021-06-02
55133201505,0,0.048,0.0,0.0,2021-06-02
55133201504,0,0.11,0.0,0.0,2021-06-02
55133201503,0,0.1,0.0,0.0,2021-06-02
